"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 07:27:14 GMT 2024","Mon Sep 30 07:27:20 GMT 2024","6444","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","addTestCaseTest","Тест на создание сущности","Тест на создание сущности"
"passed","Mon Sep 30 07:28:12 GMT 2024","Mon Sep 30 07:28:14 GMT 2024","2155","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","popUpMessageTest","Тест на проверку всплывающего сообщения при невалидном логине","Тест на проверку всплывающего сообщения при невалидном логине"
"passed","Mon Sep 30 07:27:31 GMT 2024","Mon Sep 30 07:27:34 GMT 2024","2939","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"failed","Mon Sep 30 07:28:08 GMT 2024","Mon Sep 30 07:28:10 GMT 2024","2370","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","invalidTest","Тест воспроизводящий любой дефект","Тест воспроизводящий любой дефект для формирования скриншота в allure report"
"failed","Mon Sep 30 07:27:22 GMT 2024","Mon Sep 30 07:27:25 GMT 2024","3107","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 07:27:00 GMT 2024","Mon Sep 30 07:27:00 GMT 2024","507","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getSingleProject","API GET проверка проекта по id","API GET проверка проекта по id"
"passed","Mon Sep 30 07:27:40 GMT 2024","Mon Sep 30 07:27:46 GMT 2024","6475","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","deleteTestCaseTest","Тест на удаление сущности","Тест на удаление сущности"
"passed","Mon Sep 30 07:27:00 GMT 2024","Mon Sep 30 07:27:01 GMT 2024","537","Surefire suite","Surefire test","test.api.ApiPutTest","test.api.ApiPutTest","updateProjectTest","Тест на проверку обновления проекта","API Post Тест на проверку обновления проекта"
"passed","Mon Sep 30 07:27:48 GMT 2024","Mon Sep 30 07:27:51 GMT 2024","2682","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","dialogWindowTest","Тест на проверку отображения диалогового окна","Тест на проверку отображения диалогового окна"
"passed","Mon Sep 30 07:26:59 GMT 2024","Mon Sep 30 07:27:00 GMT 2024","548","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getInvalidProjectTest","API GET проверка несуществующего проекта","API GET проверка несуществующего проекта"
"failed","Mon Sep 30 07:27:35 GMT 2024","Mon Sep 30 07:27:38 GMT 2024","3014","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 07:27:53 GMT 2024","Mon Sep 30 07:27:58 GMT 2024","5199","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","fileUploadTest","Тест на загрузку файла","Тест на загрузку файла"
"passed","Mon Sep 30 07:26:58 GMT 2024","Mon Sep 30 07:26:58 GMT 2024","589","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addProjectTest","addProjectTest","API Post Тест на проверку создания проекта"
"passed","Mon Sep 30 07:28:00 GMT 2024","Mon Sep 30 07:28:06 GMT 2024","6542","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","dataExceedsTheLimitTest","Тест на ввод данных превышающих допустимые","Тест на ввод данных превышающих допустимые"
"passed","Mon Sep 30 07:26:54 GMT 2024","Mon Sep 30 07:26:57 GMT 2024","2491","Surefire suite","Surefire test","test.api.ApiJsonFileTest","test.api.ApiJsonFileTest","addProjectUsingJsonFileTest","API Post создание проекта c использованием данных из JSON","API Post Тест на проверку создания проекта c использованием данных из JSON"
"passed","Mon Sep 30 07:26:58 GMT 2024","Mon Sep 30 07:26:59 GMT 2024","539","Surefire suite","Surefire test","test.api.ApiDeleteTest","test.api.ApiDeleteTest","deleteProjectTest","Тест на проверку удаления проекта","API DELETE тест на проверку удаления проекта"
"passed","Mon Sep 30 07:26:57 GMT 2024","Mon Sep 30 07:26:58 GMT 2024","871","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addInvalidNameProject","Тест на проверку создания проекта с некоректным количеством символов в имени","API Post Тест на проверку создания проекта с некоректным количеством символов в имени"
"passed","Mon Sep 30 07:26:59 GMT 2024","Mon Sep 30 07:26:59 GMT 2024","550","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getAllProjects","Тест на проверку имеющихся проектов","API GET Тест на проверку имеющихся проектов"
"passed","Mon Sep 30 07:27:26 GMT 2024","Mon Sep 30 07:27:29 GMT 2024","2974","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
