"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 07:17:29 GMT 2024","Mon Sep 30 07:17:30 GMT 2024","949","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addInvalidNameProject","Тест на проверку создания проекта с некоректным количеством символов в имени","API Post Тест на проверку создания проекта с некоректным количеством символов в имени"
"broken","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","setup","setup",""
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","deleteTestCaseTest","Тест на удаление сущности","Тест на удаление сущности"
"passed","Mon Sep 30 07:17:30 GMT 2024","Mon Sep 30 07:17:31 GMT 2024","618","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addProjectTest","addProjectTest","API Post Тест на проверку создания проекта"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","invalidTest","Тест воспроизводящий любой дефект","Тест воспроизводящий любой дефект для формирования скриншота в allure report"
"broken","Mon Sep 30 07:17:31 GMT 2024","Mon Sep 30 07:17:31 GMT 2024","560","Surefire suite","Surefire test","test.api.ApiDeleteTest","test.api.ApiDeleteTest","deleteProjectTest","Тест на проверку удаления проекта","API DELETE тест на проверку удаления проекта"
"broken","Mon Sep 30 07:17:33 GMT 2024","Mon Sep 30 07:17:33 GMT 2024","527","Surefire suite","Surefire test","test.api.ApiPutTest","test.api.ApiPutTest","updateProjectTest","Тест на проверку обновления проекта","API Post Тест на проверку обновления проекта"
"passed","Mon Sep 30 07:17:32 GMT 2024","Mon Sep 30 07:17:32 GMT 2024","551","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getInvalidProjectTest","API GET проверка несуществующего проекта","API GET проверка несуществующего проекта"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","fileUploadTest","Тест на загрузку файла","Тест на загрузку файла"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","dialogWindowTest","Тест на проверку отображения диалогового окна","Тест на проверку отображения диалогового окна"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","1","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","popUpMessageTest","Тест на проверку всплывающего сообщения при невалидном логине","Тест на проверку всплывающего сообщения при невалидном логине"
"passed","Mon Sep 30 07:17:27 GMT 2024","Mon Sep 30 07:17:29 GMT 2024","2352","Surefire suite","Surefire test","test.api.ApiJsonFileTest","test.api.ApiJsonFileTest","addProjectUsingJsonFileTest","API Post создание проекта c использованием данных из JSON","API Post Тест на проверку создания проекта c использованием данных из JSON"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"broken","Mon Sep 30 07:17:32 GMT 2024","Mon Sep 30 07:17:33 GMT 2024","511","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getSingleProject","API GET проверка проекта по id","API GET проверка проекта по id"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","addTestCaseTest","Тест на создание сущности","Тест на создание сущности"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","dataExceedsTheLimitTest","Тест на ввод данных превышающих допустимые","Тест на ввод данных превышающих допустимые"
"broken","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","setup","setup",""
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"skipped","Mon Sep 30 07:17:35 GMT 2024","Mon Sep 30 07:17:35 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 07:17:31 GMT 2024","Mon Sep 30 07:17:32 GMT 2024","513","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getAllProjects","Тест на проверку имеющихся проектов","API GET Тест на проверку имеющихся проектов"
