"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 08:24:51 GMT 2024","Mon Sep 30 08:24:54 GMT 2024","2910","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 08:25:32 GMT 2024","Mon Sep 30 08:25:34 GMT 2024","2144","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","popUpMessageTest","Тест на проверку всплывающего сообщения при невалидном логине","Тест на проверку всплывающего сообщения при невалидном логине"
"passed","Mon Sep 30 08:24:47 GMT 2024","Mon Sep 30 08:24:50 GMT 2024","2952","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 08:24:22 GMT 2024","Mon Sep 30 08:24:22 GMT 2024","433","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addProjectTest","addProjectTest","API Post Тест на проверку создания проекта"
"passed","Mon Sep 30 08:24:23 GMT 2024","Mon Sep 30 08:24:24 GMT 2024","377","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getSingleProject","API GET проверка проекта по id","API GET проверка проекта по id"
"passed","Mon Sep 30 08:24:56 GMT 2024","Mon Sep 30 08:24:59 GMT 2024","2884","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 08:24:43 GMT 2024","Mon Sep 30 08:24:46 GMT 2024","2936","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","Проверка граничных значений","Тест на проверку поля для ввода на граничные значения"
"passed","Mon Sep 30 08:25:00 GMT 2024","Mon Sep 30 08:25:07 GMT 2024","6458","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","deleteTestCaseTest","Тест на удаление сущности","Тест на удаление сущности"
"passed","Mon Sep 30 08:24:34 GMT 2024","Mon Sep 30 08:24:41 GMT 2024","6874","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","addTestCaseTest","Тест на создание сущности","Тест на создание сущности"
"passed","Mon Sep 30 08:24:23 GMT 2024","Mon Sep 30 08:24:23 GMT 2024","419","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getAllProjects","Тест на проверку имеющихся проектов","API GET Тест на проверку имеющихся проектов"
"failed","Mon Sep 30 08:25:28 GMT 2024","Mon Sep 30 08:25:30 GMT 2024","2371","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","invalidTest","Тест воспроизводящий любой дефект","Тест воспроизводящий любой дефект для формирования скриншота в allure report"
"passed","Mon Sep 30 08:25:13 GMT 2024","Mon Sep 30 08:25:18 GMT 2024","5130","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","fileUploadTest","Тест на загрузку файла","Тест на загрузку файла"
"passed","Mon Sep 30 08:24:22 GMT 2024","Mon Sep 30 08:24:23 GMT 2024","377","Surefire suite","Surefire test","test.api.ApiDeleteTest","test.api.ApiDeleteTest","deleteProjectTest","Тест на проверку удаления проекта","API DELETE тест на проверку удаления проекта"
"passed","Mon Sep 30 08:25:20 GMT 2024","Mon Sep 30 08:25:26 GMT 2024","6546","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","dataExceedsTheLimitTest","Тест на ввод данных превышающих допустимые","Тест на ввод данных превышающих допустимые"
"passed","Mon Sep 30 08:24:21 GMT 2024","Mon Sep 30 08:24:22 GMT 2024","864","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addInvalidNameProject","Тест на проверку создания проекта с некоректным количеством символов в имени","API Post Тест на проверку создания проекта с некоректным количеством символов в имени"
"passed","Mon Sep 30 08:24:18 GMT 2024","Mon Sep 30 08:24:21 GMT 2024","2756","Surefire suite","Surefire test","test.api.ApiJsonFileTest","test.api.ApiJsonFileTest","addProjectUsingJsonFileTest","API Post создание проекта c использованием данных из JSON","API Post Тест на проверку создания проекта c использованием данных из JSON"
"passed","Mon Sep 30 08:24:23 GMT 2024","Mon Sep 30 08:24:23 GMT 2024","439","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getInvalidProjectTest","API GET проверка несуществующего проекта","API GET проверка несуществующего проекта"
"passed","Mon Sep 30 08:25:09 GMT 2024","Mon Sep 30 08:25:11 GMT 2024","2736","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","dialogWindowTest","Тест на проверку отображения диалогового окна","Тест на проверку отображения диалогового окна"
"passed","Mon Sep 30 08:24:24 GMT 2024","Mon Sep 30 08:24:24 GMT 2024","436","Surefire suite","Surefire test","test.api.ApiPutTest","test.api.ApiPutTest","updateProjectTest","Тест на проверку обновления проекта","API Post Тест на проверку обновления проекта"
